id;time_instant;descripcion;procedimiento;titulo;verificar;observaciones;prioridad
1;2021-05-05T04:07:10;Croatian;haptic;logística;true;abierta navigating;cero mobile Blanco
2;2021-05-05T12:16:29;streamline Planificador;Metal;Canarias;true;Soporte;Verde Artesanal
3;2021-05-04T19:11:11;invoice;Acero;Videojuegos Monitorizado Ejecutivo;true;extensible;Prolongación Extremadura
4;2021-05-05T08:17:34;Representante Ladrillo;Intranet Muelle;clicks-and-mortar;true;Granito Money;Palladium neural
5;2021-05-04T17:18:43;sistémica quantify Factores;Ladrillo;synthesizing Agente;true;Chad Perseverando;Acero
6;2021-05-05T01:34:19;Account;hard;Blanco empresa generación;false;Morado Madera El;incentivize payment Multi
7;2021-05-05T04:26:13;Adelante;transmitting;productize;false;e-business overriding Queso;Madera Granito
8;2021-05-05T13:23:24;panel Rojo Violeta;Marroquinería feed program;firmware Escalinata back-end;false;transmitter Hormigon SAS;Baleares Negro programming
9;2021-05-05T01:52:01;Toallas;productividad;models;true;synergies Cambridgeshire;drive Tajikistan Monte
10;2021-05-05T11:14:11;Marroquinería Cambridgeshire;envisioneer;Borders;false;Extendido;Salud Persistente
