id;condicion;descripcion
1;Teclado Ordenador;../fake-data/blob/hipster.txt
2;bypassing de redundant;../fake-data/blob/hipster.txt
3;Checking;../fake-data/blob/hipster.txt
4;COM Coordinador Identidad;../fake-data/blob/hipster.txt
5;Algodón dinámica;../fake-data/blob/hipster.txt
6;Seguro Técnico Madera;../fake-data/blob/hipster.txt
7;Planificador;../fake-data/blob/hipster.txt
8;Franc Futuro copy;../fake-data/blob/hipster.txt
9;open-source Parque;../fake-data/blob/hipster.txt
10;revolutionary PCI;../fake-data/blob/hipster.txt
