id;nombre;direccion;propietario
1;Verde Paradigma;Mancha mobile Líbano;transition mano
2;index Turkish Cambridgeshire;pixel;Plástico
3;sexy concepto;incubate Distrito;Guantes withdrawal
4;Account;optimize turn-key Funcionario;Won back
5;Lebanese Avon iterate;Global Comunicaciones Loan;e-business
6;deposit;e-services programming Somalia;payment
7;Poland software primary;Ensalada;Calle Comunidad Acero
8;Inteligente;Public-key Dram Mozambique;AGP IB Artesanal
9;Videojuegos;productize;Investment Mauritania
10;Portugal Account;Andalucía Barrio;SDD scalable
