id;nombre;nit;direccion;telefono;correo_electronico
1;Respuesta;quantifying Tácticas;array parsing;connecting;solid
2;Gerente;Verde Blanco Futuro;Fuerte Berkshire;JSON archivo;expedite Polígono
3;Vasco;Vasco aprovechar Plástico;Arquitecto Bermuda Global;Rico 1080p;1080p
4;Platinum payment;España;withdrawal;indexing monetize;SDD Innovador Usabilidad
5;systems architectures Morado;synergistic Técnico;AGP Avon withdrawal;radical monitor;wireless
6;connecting Patatas back;empresa sensible;Avon Verde;expedite Bután Cliente;magnetic PNG
7;Teclado Granito;firewall transition;customized;incubate dinámica extend;Rojo
8;parsing;enterprise JBOD;generating Avenida;Account;intermedia back-end
9;Berkshire;Zapatos synthesizing;back Refinado transmitter;segura;Cambridgeshire
10;streamline Sorprendente Productor;back-end;open-source Singapore impactful;Dinar Ladrillo Violeta;Regional Australia
