id;fecha_inicio;fecha_actualizacion;estado;tipo_notificacion
1;2021-05-04T15:27:43;2021-05-05T09:30:11;31436;72917
2;2021-05-05T07:00:38;2021-05-04T23:14:40;27889;95649
3;2021-05-04T19:47:05;2021-05-05T09:10:14;30976;44346
4;2021-05-05T03:19:57;2021-05-04T16:19:48;69235;65075
5;2021-05-05T00:49:13;2021-05-04T17:21:58;37131;49302
6;2021-05-04T16:15:38;2021-05-04T18:04:41;18814;68850
7;2021-05-04T18:43:13;2021-05-05T04:51:59;50901;74403
8;2021-05-05T10:48:00;2021-05-04T22:43:27;35368;96076
9;2021-05-05T08:05:27;2021-05-05T06:34:53;42183;13337
10;2021-05-05T08:46:26;2021-05-05T13:52:54;48208;86077
