id;token_conexion;activo;fecha_inicio;fecha_fin
1;drive Pasaje XSS;true;2021-05-05T08:47:46;2021-05-04T15:17:39
2;Checking navigate benchmark;false;2021-05-04T20:41:02;2021-05-05T06:54:07
3;Decoración;false;2021-05-04T20:50:45;2021-05-05T14:12:06
4;Canarias Home a;false;2021-05-05T05:02:56;2021-05-05T06:43:00
5;deposit;true;2021-05-04T21:38:06;2021-05-05T06:24:51
6;Morado;false;2021-05-05T07:49:58;2021-05-05T07:19:55
7;Respuesta;false;2021-05-05T07:16:12;2021-05-04T22:05:14
8;Informática Genérico;true;2021-05-04T20:17:06;2021-05-04T17:53:53
9;Artesanal Pantalones Raton;true;2021-05-04T17:11:29;2021-05-05T10:26:49
10;Morado;false;2021-05-05T10:32:39;2021-05-05T14:03:14
